"length(which_indiv)" "ownership" "headsex" "headrace" "headhisp" "headage"
1 1 1 1 1 35
3 1 1 1 2 54
1 1 1 1 1 66
1 1 1 1 3 59
3 1 1 1 1 79
2 2 1 1 1 30
1 1 1 1 1 67
1 1 1 7 2 66
1 1 2 1 1 61
3 2 2 1 2 39
2 2 2 1 2 32
1 2 1 1 1 40
1 2 1 4 1 31
3 1 2 1 1 33
1 2 2 1 1 49
1 1 1 1 1 56
1 1 1 1 1 83
1 2 1 1 3 33
2 1 2 1 1 57
3 1 2 1 1 47
1 2 2 1 1 34
3 1 1 1 1 69
1 2 2 7 5 39
1 2 1 3 1 79
1 1 1 1 1 61
3 1 1 1 1 45
1 1 1 1 1 69
3 1 1 1 1 55
1 1 1 1 1 79
2 1 2 1 1 54
2 2 2 2 1 61
2 1 1 1 1 62
1 1 1 1 1 87
2 1 1 1 1 53
3 1 1 1 1 35
1 1 2 1 1 58
3 1 1 1 1 39
1 1 2 1 1 52
1 2 1 1 1 43
1 1 1 1 1 75
3 1 1 1 1 46
2 2 2 7 2 33
3 1 1 1 1 41
2 2 1 1 1 37
2 1 1 1 1 55
1 1 2 1 1 49
1 1 1 1 1 67
1 1 2 1 1 51
1 1 2 1 1 49
2 2 2 2 1 56
1 1 1 1 1 70
1 1 1 1 1 76
2 1 1 1 1 56
2 2 2 1 1 38
1 1 2 1 1 80
1 1 2 1 1 54
3 1 1 1 5 55
1 1 1 1 1 76
3 1 1 1 1 59
1 1 2 1 5 51
1 1 1 1 1 62
3 1 2 1 1 36
1 1 1 1 1 86
3 2 2 1 1 32
2 1 2 1 1 34
1 1 2 1 1 72
1 1 2 1 1 60
1 2 2 1 1 24
2 1 2 1 1 55
2 2 1 1 1 26
2 1 1 1 1 36
1 1 2 1 1 28
3 1 1 1 1 41
3 1 1 1 1 54
1 2 2 1 2 53
1 1 1 2 1 67
1 2 2 1 1 52
1 1 1 1 1 59
3 2 1 2 1 69
2 1 1 1 1 53
1 1 1 1 1 54
3 1 1 1 1 63
1 2 1 6 1 30
2 2 2 1 5 24
1 1 2 1 1 54
1 2 2 2 5 57
1 1 2 1 1 72
1 2 2 7 3 25
1 2 2 1 1 42
1 2 1 1 3 35
1 2 1 1 1 39
1 1 2 1 1 35
1 1 2 1 1 57
3 1 1 1 1 47
3 1 1 1 2 40
1 2 2 1 1 37
1 1 1 1 1 63
1 1 1 1 1 59
1 2 1 1 1 64
2 1 2 1 5 39
2 1 2 4 1 43
1 1 2 1 2 68
2 1 2 2 1 35
1 2 2 1 1 51
1 1 1 1 1 59
1 1 1 1 1 68
3 1 2 1 1 50
2 2 2 1 1 57
2 1 1 1 1 55
3 1 1 1 1 61
2 1 2 1 1 76
2 1 1 1 1 61
1 2 2 2 1 43
2 1 2 1 1 65
1 1 2 1 1 68
1 1 2 1 1 56
2 2 1 1 1 33
1 2 1 1 1 20
1 1 2 1 1 49
1 1 2 1 1 65
3 1 1 1 5 67
3 2 2 7 2 38
1 1 2 1 1 84
1 1 1 1 1 77
3 1 2 1 1 48
2 1 1 1 2 48
3 1 1 1 1 54
1 1 2 2 1 70
2 2 2 1 1 55
2 1 1 2 1 71
1 1 1 8 1 57
2 1 2 1 1 58
3 2 2 2 1 31
1 1 1 1 1 72
1 1 1 1 1 69
3 1 1 1 1 46
2 1 1 1 1 60
2 1 1 1 1 41
2 2 2 8 4 57
2 1 2 1 1 61
2 1 1 1 3 55
1 2 2 2 1 33
3 1 2 2 1 43
1 1 2 1 1 56
3 1 1 1 1 50
1 1 2 2 1 50
1 1 2 1 1 66
1 1 1 1 1 49
1 1 2 1 1 61
1 2 1 1 2 23
2 1 1 1 1 48
1 2 1 1 1 61
1 1 1 1 1 72
2 1 2 1 1 52
1 1 1 1 1 62
1 1 2 1 5 46
1 2 2 7 5 20
1 2 2 7 2 48
1 1 1 1 1 44
2 1 1 1 1 38
1 1 2 6 1 47
1 1 2 1 1 68
1 1 1 1 1 82
1 2 2 1 1 58
2 1 2 1 1 49
1 1 1 1 1 74
2 1 2 1 1 38
