"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
28171 4 2 4 1 3 4 1 1 1 1 46
28172 2 1 1 NA NA 3 1 2 1 1 78
28172 3 NA 1 1 28 8 1 2 1 1 78
28172 4 1 NA 1 26 8 1 2 1 1 78
28173 2 2 5 1 43 2 1 1 NA 1 43
28173 3 2 NA 1 5 3 1 1 NA 1 43
28174 2 1 1 NA NA 6 1 2 1 1 79
28175 2 NA NA 2 24 3 1 NA NA 2 59
28175 3 2 1 2 NA 8 1 NA NA 2 59
28175 4 2 1 NA 21 13 1 NA NA 2 59
28176 2 NA 7 2 39 6 1 NA 7 2 32
28176 3 1 NA 2 NA 7 1 NA 7 2 32
28177 2 2 1 1 29 2 NA 1 1 NA 30
28177 3 NA 1 1 6 NA NA 1 1 NA 30
28177 4 2 NA NA 1 3 NA 1 1 NA 30
28178 2 2 1 1 62 2 1 NA NA NA 62
28179 2 1 NA 2 33 NA NA 2 1 1 29
28180 2 1 NA NA 6 NA 2 NA 1 NA 39
28181 2 NA 1 NA 6 3 1 2 NA 1 25
28182 2 2 1 NA 49 3 NA 2 1 NA 81
28183 2 2 1 1 NA 2 1 NA 1 1 66
28184 2 2 NA 1 60 2 1 1 6 1 64
28184 3 1 6 1 25 NA 1 1 6 1 64
28185 2 2 1 NA NA NA 1 1 1 NA 49
28185 3 2 NA NA 20 NA 1 1 1 NA 49
28185 4 NA 1 1 14 NA 1 1 1 NA 49
28185 5 NA NA NA 14 3 1 1 1 NA 49
28186 2 NA 1 1 51 3 1 2 1 1 72
28186 3 1 1 1 56 10 1 2 1 1 72
28187 2 NA 1 NA 34 2 2 1 1 2 40
28187 3 2 NA 2 14 3 2 1 1 2 40
28187 4 NA NA 2 12 NA 2 1 1 2 40
28187 5 NA 1 2 6 3 2 1 1 2 40
28188 2 1 NA 1 NA 2 NA 2 1 1 61
28189 2 NA 1 1 NA NA NA NA NA 1 77
28190 2 1 1 1 NA 2 1 2 1 1 27
28191 2 2 NA 1 58 2 1 1 1 NA 61
28192 2 2 1 1 NA 2 1 1 1 1 63
28193 2 2 NA NA NA 2 1 1 1 1 37
28193 3 1 NA 1 NA 3 1 1 1 1 37
28193 4 1 1 NA 2 NA 1 1 1 1 37
28194 2 NA NA 1 NA 2 NA NA 1 1 68
28194 3 1 8 1 41 3 NA NA 1 1 68
28195 2 2 1 1 NA 2 NA 1 1 NA 45
28195 3 2 1 1 14 4 NA 1 1 NA 45
28195 4 1 NA 1 11 4 NA 1 1 NA 45
28196 2 2 8 1 NA NA 1 1 NA 1 28
28196 3 1 1 NA 5 3 1 1 NA 1 28
28196 4 2 1 NA 2 NA 1 1 NA 1 28
28197 2 NA 2 NA 44 NA 1 2 2 1 68
28197 3 1 2 1 27 8 1 2 2 1 68
28198 2 NA 1 2 NA 12 2 NA 7 1 26
28199 2 NA 7 1 32 2 NA 2 7 1 31
28199 3 1 7 1 2 3 NA 2 7 1 31
28200 2 1 1 1 50 3 NA NA 1 1 89
28201 2 2 2 NA 30 2 1 1 2 1 48
28201 3 1 2 1 45 NA 1 1 2 1 48
28202 2 NA NA 1 47 2 NA 1 1 1 47
28202 3 1 1 1 17 NA NA 1 1 1 47
28202 4 2 1 NA 16 NA NA 1 1 1 47
28202 5 2 1 NA 11 NA NA 1 1 1 47
28203 2 NA NA 1 23 3 2 2 NA 1 50
28204 2 1 1 1 75 2 1 2 1 1 73
28205 2 2 NA 1 NA 2 2 1 1 1 62
28206 2 1 6 1 54 2 2 2 NA 1 55
28206 3 2 NA 1 21 4 2 2 NA 1 55
28207 2 1 7 NA 16 NA 1 1 7 1 42
28207 3 NA NA 1 52 12 1 1 7 1 42
28208 2 NA 1 1 23 3 1 2 NA 1 66
28209 2 2 6 1 28 2 2 1 6 1 33
28209 3 1 NA 1 13 3 2 1 6 1 33
28209 4 NA NA NA NA 3 2 1 6 1 33
28210 2 2 1 1 82 NA 1 NA NA 1 90
28211 2 1 1 NA NA NA 1 NA 1 NA 68
28212 2 NA NA 1 NA 2 NA 1 2 NA 41
28212 3 1 2 1 NA 3 NA 1 2 NA 41
28212 4 2 NA 1 4 NA NA 1 2 NA 41
28212 5 2 NA 1 2 3 NA 1 2 NA 41
28213 2 2 8 NA 50 NA 2 1 NA NA 45
28213 3 1 8 NA 19 NA 2 1 NA NA 45
28213 4 1 1 2 NA NA 2 1 NA NA 45
28213 5 NA NA NA NA 13 2 1 NA NA 45
28214 2 NA 1 1 NA 2 NA 1 NA 1 48
28214 3 1 1 NA NA NA NA 1 NA 1 48
28214 4 NA 1 NA 18 3 NA 1 NA 1 48
28215 2 2 1 1 33 2 2 NA NA 1 37
28215 3 1 1 1 10 3 2 NA NA 1 37
28215 4 NA 1 1 8 3 2 NA NA 1 37
28216 2 2 1 1 22 12 1 2 1 NA 37
28217 2 2 NA 1 NA 2 1 NA 1 1 72
28218 2 1 NA 1 NA NA 2 NA NA NA 33
28218 3 1 2 1 8 3 2 NA NA NA 33
28218 4 1 2 1 30 NA 2 NA NA NA 33
28219 2 1 1 1 2 3 2 2 1 NA 23
28219 3 1 1 1 NA 12 2 2 1 NA 23
28220 2 2 NA 1 65 2 1 1 1 1 58
28221 2 1 NA 1 39 2 NA 2 1 1 40
28221 3 NA 1 1 9 NA NA 2 1 1 40
28221 4 2 1 1 6 3 NA 2 1 1 40
28221 5 2 1 NA 2 3 NA 2 1 1 40
28222 2 NA NA NA 13 3 1 2 1 3 57
28222 3 1 NA 5 NA NA 1 2 1 3 57
28223 2 2 1 2 NA 2 1 NA NA 2 68
28224 2 2 1 1 NA 2 1 1 1 1 35
28224 3 2 1 1 9 NA 1 1 1 1 35
28224 4 NA 1 1 NA 3 1 1 1 1 35
28224 5 2 NA 1 3 NA 1 1 1 1 35
28225 2 2 1 1 57 2 1 NA NA NA 56
28225 3 NA NA 1 24 3 1 NA NA NA 56
28225 4 NA NA NA 18 NA 1 NA NA NA 56
28226 2 1 1 1 21 3 1 2 NA 1 55
28226 3 2 NA 1 NA NA 1 2 NA 1 55
28227 2 2 NA 1 NA 2 1 NA 1 NA 50
28227 3 2 NA 5 22 3 1 NA 1 NA 50
28227 4 1 NA 5 19 3 1 NA 1 NA 50
28228 2 NA 1 1 NA NA 1 NA 1 NA 50
28228 3 2 1 1 80 NA 1 NA 1 NA 50
28229 2 2 1 1 NA 2 2 1 NA NA 51
28229 3 2 1 1 27 3 2 1 NA NA 51
28229 4 1 7 5 3 NA 2 1 NA NA 51
28229 5 1 7 5 23 NA 2 1 NA NA 51
28230 2 NA 1 1 NA 2 1 NA 1 1 51
28230 3 NA 1 NA 21 3 1 NA 1 1 51
28231 2 2 1 1 NA 2 1 1 1 1 68
28232 2 NA 3 NA 25 12 2 2 1 1 25
28233 2 NA 1 1 56 2 1 NA 1 1 58
28234 2 2 NA 3 NA 2 1 1 1 3 79
28235 2 NA 1 2 45 NA NA NA 1 2 52
28236 2 1 1 1 26 3 NA 1 1 NA 55
28237 2 2 1 NA NA 2 1 1 NA 1 74
28237 3 1 1 1 50 4 1 1 NA 1 74
28238 2 NA 1 1 58 2 2 1 NA 1 64
28239 2 2 1 NA 66 2 1 NA 1 1 73
28239 3 1 1 NA 37 3 1 NA 1 1 73
28240 2 2 1 1 30 NA 1 1 NA 1 32
28241 2 NA 1 2 58 2 2 1 1 2 62
28241 3 NA NA NA 28 3 2 1 1 2 62
28241 4 1 NA 2 25 3 2 1 1 2 62
28241 5 1 1 2 23 3 2 1 1 2 62
28241 6 NA 1 NA 17 3 2 1 1 2 62
28242 2 NA NA NA 33 NA 1 NA 1 NA 28
28242 3 1 1 2 1 NA 1 NA 1 NA 28
28243 2 1 1 1 59 2 NA 2 NA 1 59
28243 3 1 NA 1 16 3 NA 2 NA 1 59
28244 2 1 1 1 NA 2 1 NA 1 1 52
28244 3 1 1 1 19 3 1 NA 1 1 52
28245 2 1 NA 1 NA 3 1 NA 1 NA 83
28246 2 1 1 NA 63 12 NA 2 1 1 56
28247 2 2 1 NA 55 2 2 1 NA 1 58
28248 2 NA 2 1 43 2 1 2 NA NA 38
28248 3 1 NA NA NA NA 1 2 NA NA 38
28248 4 1 NA NA 11 3 1 2 NA NA 38
28249 2 1 1 NA NA 2 NA NA 1 NA 57
28250 2 NA 1 1 30 4 1 2 1 1 62
28251 2 2 1 NA NA 2 NA 1 1 1 47
28252 2 2 1 NA NA NA NA 1 1 NA 74
28253 2 2 NA 1 58 2 1 1 1 1 52
28253 3 1 1 1 29 4 1 1 1 1 52
28253 4 NA NA 1 NA NA 1 1 1 1 52
28254 2 2 3 1 NA 2 1 1 1 1 29
28255 2 1 1 1 19 3 2 2 1 1 42
28255 3 1 NA 1 NA 3 2 2 1 1 42
28255 4 2 1 NA 16 3 2 2 1 1 42
28255 5 2 1 NA NA 3 2 2 1 1 42
28256 2 NA 1 1 8 NA 2 2 NA 1 31
28256 3 NA 1 1 6 3 2 2 NA 1 31
28256 4 1 1 1 5 3 2 2 NA 1 31
28257 2 1 NA 1 NA 2 1 NA 1 1 58
28258 2 NA NA 3 10 NA 2 2 1 3 47
28259 2 1 2 1 25 3 2 2 NA 1 59
28260 2 NA NA 1 85 2 NA NA 1 1 79
28261 2 2 1 1 45 2 2 1 1 1 42
28261 3 2 1 1 9 3 2 1 1 1 42
28262 2 1 6 1 35 NA NA NA 6 1 31
28263 2 2 1 1 NA 2 NA NA 1 1 73
28264 2 1 1 1 NA 2 1 NA 1 1 33
28264 3 2 1 1 10 NA 1 NA 1 1 33
28264 4 2 1 1 7 3 1 NA 1 1 33
28264 5 1 1 1 6 3 1 NA 1 1 33
28265 2 2 NA 1 NA NA 1 1 1 1 79
28266 2 2 NA 1 NA 2 2 NA 1 1 41
28266 3 1 8 NA 12 5 2 NA 1 1 41
28266 4 2 1 1 10 NA 2 NA 1 1 41
28266 5 NA NA 1 8 5 2 NA 1 1 41
28267 2 NA 8 1 1 3 2 NA 1 1 29
28268 2 2 1 1 NA 12 2 NA NA 2 34
28269 2 1 7 NA 25 3 1 2 7 5 52
28270 2 1 1 1 41 3 NA 1 1 1 70
28271 2 1 NA NA 36 12 2 2 NA 1 31
28272 2 NA NA 1 51 12 1 2 1 1 51
28273 2 1 1 1 NA 2 1 2 NA 1 48
28273 3 2 NA 1 23 NA 1 2 NA 1 48
28273 4 2 1 1 NA 3 1 2 NA 1 48
28273 5 2 NA 1 NA NA 1 2 NA 1 48
28274 2 2 1 1 34 NA NA 1 1 1 40
28274 3 1 NA 1 NA NA NA 1 1 1 40
28274 4 1 1 NA 10 NA NA 1 1 1 40
28275 2 2 1 1 13 NA 2 2 1 1 36
28276 2 NA NA NA NA 2 1 NA 1 NA 54
28277 2 2 NA 1 36 2 1 1 1 1 35
28278 2 NA NA 1 39 2 NA 1 1 1 40
28278 3 NA 1 NA NA 3 NA 1 1 1 40
28278 4 1 NA NA 12 3 NA 1 1 1 40
28279 2 2 1 NA NA 2 1 1 1 1 60
28280 2 NA NA NA 76 2 1 NA 1 1 75
28281 2 1 6 1 24 2 2 2 2 NA 24
28281 3 2 2 NA NA 7 2 2 2 NA 24
28282 2 NA NA NA 65 2 NA 1 2 NA 63
28283 2 2 1 1 52 2 NA NA NA 1 50
28283 3 1 NA 1 17 3 NA NA NA 1 50
28284 2 2 NA 1 70 2 1 NA NA 1 71
28285 2 NA 1 1 60 2 1 2 1 NA 47
28285 3 NA 1 1 28 NA 1 2 1 NA 47
28286 2 1 1 1 56 12 1 1 NA 1 55
28287 2 2 2 1 44 2 1 NA 2 1 47
28287 3 2 2 1 14 NA 1 NA 2 1 47
28288 2 NA 6 1 NA 3 1 NA NA NA 42
28288 3 2 6 NA 13 NA 1 NA NA NA 42
28288 4 2 6 NA 12 NA 1 NA NA NA 42
28288 5 2 6 1 8 3 1 NA NA NA 42
28288 6 1 NA NA 68 7 1 NA NA NA 42
28288 7 NA 6 1 NA 7 1 NA NA NA 42
28288 8 NA 6 1 NA 12 1 NA NA NA 42
28289 2 2 NA NA 61 NA 1 1 NA 1 63
28290 2 1 NA NA NA 2 2 NA 1 1 24
28290 3 NA 1 1 2 NA 2 NA 1 1 24
28291 2 2 NA 1 NA NA 1 1 1 1 35
28291 3 1 NA 1 4 3 1 1 1 1 35
28291 4 2 1 1 1 NA 1 1 1 1 35
28292 2 1 NA NA NA 2 NA 2 1 1 51
28293 2 2 1 1 38 2 NA 1 1 1 44
28293 3 NA 1 1 17 3 NA 1 1 1 44
28293 4 NA NA 1 2 3 NA 1 1 1 44
28293 5 NA 1 1 NA 3 NA 1 1 1 44
28294 2 2 NA 1 60 2 1 1 NA 1 68
28295 2 NA 1 1 18 3 NA 2 NA NA 45
28295 3 NA 1 1 13 3 NA 2 NA NA 45
28296 2 1 7 2 44 2 1 2 7 2 35
28296 3 1 7 2 17 3 1 2 7 2 35
28296 4 1 7 2 15 NA 1 2 7 2 35
28296 5 NA 7 2 11 NA 1 2 7 2 35
28297 2 1 7 2 NA NA 1 2 NA 1 54
28297 3 2 NA NA 26 NA 1 2 NA 1 54
28298 2 1 1 NA 64 2 1 NA 1 NA 62
28299 2 NA NA 1 52 3 1 2 1 1 75
28300 2 2 1 NA 57 2 1 1 1 1 62
28301 2 2 1 1 18 3 1 2 1 NA 51
28301 3 NA NA 1 15 NA 1 2 1 NA 51
28302 2 2 1 1 NA NA 1 1 NA 1 78
28303 2 2 7 2 NA 12 NA 1 7 2 30
28304 2 2 NA 2 23 3 2 NA 1 2 42
28304 3 NA 1 2 16 NA 2 NA 1 2 42
28305 2 NA 1 1 NA 2 1 NA NA 1 76
28306 2 2 1 NA 47 2 1 1 1 1 48
28307 2 2 1 1 NA 2 1 1 1 1 78
28308 2 2 1 1 NA 12 1 1 1 NA 28
28309 2 1 2 NA NA NA NA 2 2 1 42
28309 3 NA 2 1 8 3 NA 2 2 1 42
28309 4 2 2 1 5 3 NA 2 2 1 42
28310 2 1 1 1 43 2 1 NA NA 1 48
28310 3 2 NA 1 17 3 1 NA NA 1 48
28311 2 1 NA 3 32 2 2 2 1 NA 27
28312 2 NA 1 NA NA 2 2 2 1 1 33
28313 2 NA NA 1 10 3 2 1 2 1 33
28313 3 NA 2 NA NA 12 2 1 2 1 33
28314 2 1 NA 1 NA 2 NA 2 NA NA 50
28314 3 2 1 1 NA 3 NA 2 NA NA 50
28314 4 NA 1 1 NA 3 NA 2 NA NA 50
28315 2 1 NA 1 NA NA 1 2 NA 1 56
28315 3 2 1 1 15 NA 1 2 NA 1 56
28316 2 NA 1 1 NA 2 1 2 1 1 59
28317 2 2 1 1 53 2 1 1 1 1 56
28317 3 1 1 1 29 3 1 1 1 1 56
28318 2 NA NA 1 20 3 NA NA 2 NA 51
28319 2 NA 7 NA 43 2 1 1 1 1 42
28319 3 1 8 2 NA NA 1 1 1 1 42
28319 4 NA 8 2 9 3 1 1 1 1 42
28320 2 1 8 NA 40 2 1 2 8 NA 36
28320 3 2 8 5 8 3 1 2 8 NA 36
28320 4 2 8 NA NA 3 1 2 8 NA 36
28321 2 2 1 1 NA 2 NA 1 1 1 62
28322 2 2 NA NA 60 2 NA NA 1 1 67
28323 2 2 NA 1 50 3 NA 2 2 NA 74
28323 3 1 2 1 29 8 NA 2 2 NA 74
28324 2 NA 1 1 NA 2 NA NA 1 1 27
28325 2 2 1 NA NA 2 1 1 1 1 46
28326 2 2 1 1 NA 3 1 NA 1 1 56
28327 2 2 NA 2 NA 2 NA 1 NA 2 43
28327 3 2 7 2 NA 3 NA 1 NA 2 43
28327 4 2 7 2 13 NA NA 1 NA 2 43
28327 5 1 7 2 12 3 NA 1 NA 2 43
28328 2 1 1 1 48 2 1 2 1 1 48
28329 2 2 1 1 NA 2 1 NA 1 1 69
28330 2 NA 1 NA NA 8 1 2 1 1 52
28330 3 1 NA 1 66 11 1 2 1 1 52
28331 2 NA 1 1 NA 2 1 NA 1 1 71
28332 2 1 1 NA NA 2 NA 2 1 1 45
28332 3 NA NA 1 14 NA NA 2 1 1 45
28333 2 NA 1 1 28 12 NA NA 6 NA 28
28333 3 1 1 1 NA 12 NA NA 6 NA 28
28333 4 NA NA 1 NA 12 NA NA 6 NA 28
28334 2 NA 1 1 NA 2 NA NA 1 1 54
28334 3 2 1 NA 20 3 NA NA 1 1 54
28334 4 1 1 NA 17 3 NA NA 1 1 54
28335 2 1 2 1 NA 2 1 2 2 1 56
28336 2 2 1 1 NA 2 1 1 NA 1 25
28336 3 2 1 1 NA 3 1 1 NA 1 25
28337 2 1 1 NA NA 2 NA 2 1 NA 47
28337 3 2 1 NA 14 NA NA 2 1 NA 47
28338 2 1 NA 1 NA 2 NA NA 1 1 64
28339 2 1 NA 1 14 NA 1 NA NA NA 49
28339 3 1 NA 1 NA 3 1 NA NA NA 49
28339 4 NA 1 1 85 NA 1 NA NA NA 49
28340 2 1 1 NA NA 2 2 2 1 NA 35
28340 3 NA 1 NA 5 3 2 2 1 NA 35
28340 4 NA NA 1 2 NA 2 2 1 NA 35
28341 2 1 1 1 NA 2 1 2 NA NA 42
28341 3 2 1 1 17 3 1 2 NA NA 42
28341 4 NA NA 1 8 NA 1 2 NA NA 42
28342 2 2 6 1 77 NA 1 NA 6 NA 52
28342 3 NA 6 1 27 11 1 NA 6 NA 52
28342 4 1 6 NA NA 11 1 NA 6 NA 52
28342 5 1 6 1 23 11 1 NA 6 NA 52
28343 2 1 NA 1 24 3 NA 1 NA 1 49
28343 3 NA 1 NA 8 NA NA 1 NA 1 49
28344 2 2 2 1 49 2 2 1 2 1 54
28344 3 1 2 1 NA 3 2 1 2 1 54
28344 4 2 2 NA 22 3 2 1 2 1 54
28344 5 2 2 1 19 3 2 1 2 1 54
28344 6 2 NA NA 14 3 2 1 2 1 54
28345 2 1 NA 1 40 2 1 NA 1 1 42
28345 3 NA 1 NA 21 3 1 NA 1 1 42
28345 4 2 1 1 10 NA 1 NA 1 1 42
28346 2 1 NA 1 49 2 NA 2 1 NA 47
28346 3 2 1 1 3 NA NA 2 1 NA 47
28347 2 NA 1 NA NA 2 NA 1 1 NA 39
28347 3 1 1 1 8 NA NA 1 1 NA 39
28348 2 2 1 5 65 2 1 NA 1 5 52
28349 2 2 NA 1 40 NA NA 1 1 1 40
28349 3 1 1 1 8 NA NA 1 1 1 40
28349 4 2 1 2 NA 3 NA 1 1 1 40
28350 2 2 1 1 36 NA 1 2 1 1 38
28351 2 2 NA 1 47 NA 1 NA NA NA 52
28352 2 2 NA 1 NA NA 1 NA 1 1 77
28353 2 2 1 1 NA 2 1 1 1 NA 43
28353 3 2 1 1 17 3 1 1 1 NA 43
28353 4 1 1 NA 13 3 1 1 1 NA 43
28354 2 NA 1 NA NA 12 NA 1 NA 1 38
28354 3 NA 1 1 12 NA NA 1 NA 1 38
28355 2 2 1 1 62 2 NA 1 1 1 64
28356 2 2 1 2 NA 7 2 1 1 2 31
28357 2 2 NA 1 52 2 1 1 NA 1 52
28358 2 1 NA 1 NA 12 2 2 1 1 23
28359 2 1 1 NA 24 8 1 1 NA NA 79
28360 2 NA 1 1 32 2 NA 2 NA 1 31
28360 3 2 1 NA NA NA NA 2 NA 1 31
28360 4 1 1 NA 10 3 NA 2 NA 1 31
28360 5 2 1 NA NA 3 NA 2 NA 1 31
28360 6 1 1 1 8 NA NA 2 NA 1 31
28360 7 2 NA NA 5 NA NA 2 NA 1 31
28361 2 NA 1 2 55 2 NA NA 1 2 60
28361 3 NA 1 2 31 3 NA NA 1 2 60
28361 4 1 1 2 23 3 NA NA 1 2 60
28361 5 NA NA 2 2 8 NA NA 1 2 60
28361 6 2 1 NA 30 10 NA NA 1 2 60
28362 2 2 NA 1 70 2 1 1 2 NA 69
28363 2 1 1 1 NA 2 2 NA 1 1 54
28364 2 NA 6 1 NA 2 2 NA 6 1 65
28364 3 NA 6 1 36 3 2 NA 6 1 65
28364 4 NA 6 1 30 NA 2 NA 6 1 65
28364 5 1 6 1 29 NA 2 NA 6 1 65
28364 6 NA NA 1 18 8 2 NA 6 1 65
28365 2 NA 1 1 47 12 NA 2 1 3 48
28366 2 2 NA 1 NA 2 NA NA 1 1 59
28367 2 NA 1 1 51 2 1 1 1 4 52
28367 3 1 1 NA 18 NA 1 1 1 4 52
28367 4 NA 1 4 NA NA 1 1 1 4 52
28368 2 NA 2 1 19 NA 2 NA 2 1 41
28368 3 2 NA 1 18 NA 2 NA 2 1 41
28369 2 NA 2 NA 26 3 NA 2 2 NA 59
28370 2 NA 2 1 71 NA 1 NA 1 1 56
28370 3 NA NA NA 41 12 1 NA 1 1 56
28371 2 2 NA 1 NA 2 1 1 NA 1 60
28372 2 2 1 1 NA 2 NA 1 NA 1 68
28373 2 2 1 1 NA 2 1 1 1 1 31
28374 2 NA 9 NA 20 3 2 2 7 NA 46
28374 3 1 9 2 15 3 2 2 7 NA 46
28375 2 NA 1 NA NA 12 NA 1 1 1 24
28376 2 NA 8 1 9 NA 2 1 8 1 45
28376 3 NA 8 1 8 3 2 1 8 1 45
28376 4 NA 8 1 47 6 2 1 8 1 45
28377 2 NA 1 1 41 2 1 NA NA NA 54
28378 2 1 NA 1 NA 2 1 2 NA 1 55
28379 2 2 NA 1 NA 2 1 1 1 1 49
28379 3 1 NA NA 15 NA 1 1 1 1 49
28379 4 2 1 1 11 3 1 1 1 1 49
28380 2 1 1 1 45 2 1 2 1 1 46
28380 3 2 1 1 NA 3 1 2 1 1 46
28380 4 NA 1 1 17 3 1 2 1 1 46
28380 5 1 NA 1 15 NA 1 2 1 1 46
28380 6 1 1 1 11 3 1 2 1 1 46
28381 2 NA 1 NA 62 2 1 2 NA 1 54
28382 2 2 1 1 NA NA 1 1 1 1 46
28382 3 2 1 1 NA NA 1 1 1 1 46
28382 4 1 NA 1 NA 3 1 1 1 1 46
28383 2 NA NA 1 NA NA 2 1 1 1 70
28384 2 2 1 2 34 2 2 NA 1 2 34
28384 3 1 1 2 6 NA 2 NA 1 2 34
28384 4 2 1 2 3 NA 2 NA 1 2 34
28385 2 2 7 2 4 3 1 NA 7 2 31
28385 3 2 7 2 27 NA 1 NA 7 2 31
28386 2 NA 1 NA 29 NA 2 1 NA 1 29
28387 2 NA 1 1 63 2 1 2 1 NA 62
28388 2 2 1 1 NA NA 1 NA 1 1 42
28388 3 1 1 NA NA 3 1 NA 1 1 42
28389 2 2 1 1 NA 2 1 1 1 1 65
28389 3 NA NA 1 15 NA 1 1 1 1 65
28389 4 1 5 1 62 12 1 1 1 1 65
28389 5 2 NA 1 24 12 1 1 1 1 65
28389 6 2 1 1 24 NA 1 1 1 1 65
28390 2 1 NA 1 21 3 NA 2 2 1 38
28390 3 NA 2 1 15 NA NA 2 2 1 38
28390 4 2 NA 1 10 3 NA 2 2 1 38
28391 2 2 1 1 52 2 NA 1 NA 1 66
28392 2 1 NA NA 30 12 1 2 NA 1 27
28393 2 1 1 NA 80 NA NA 2 1 1 78
28394 2 2 1 1 NA 12 1 1 1 1 33
28394 3 1 NA NA 8 NA 1 1 1 1 33
28394 4 2 1 1 6 13 1 1 1 1 33
28395 2 2 NA NA NA 2 1 NA 1 1 29
28396 2 NA NA 1 3 3 1 2 2 1 32
28397 2 1 NA 1 43 NA NA 2 1 1 43
28397 3 2 1 1 15 3 NA 2 1 1 43
28397 4 NA NA NA 11 3 NA 2 1 1 43
28398 2 1 NA 1 7 NA NA 1 2 1 27
28398 3 1 2 1 2 3 NA 1 2 1 27
28399 2 NA 1 NA NA 2 1 1 1 1 60
28399 3 1 1 NA 13 NA 1 1 1 1 60
28400 2 NA 1 1 60 2 1 2 NA 1 55
28401 2 NA NA 1 NA 2 2 NA NA NA 57
28402 2 NA 1 1 31 2 2 1 1 NA 31
28403 2 2 1 1 46 2 NA NA 1 1 41
28404 2 2 1 1 NA NA NA 1 1 NA 41
28404 3 1 NA 1 NA NA NA 1 1 NA 41
28404 4 1 1 1 3 NA NA 1 1 NA 41
28405 2 1 NA 1 NA 12 1 NA 1 1 36
28406 2 1 1 1 42 2 1 2 1 1 42
28406 3 1 NA NA 19 NA 1 2 1 1 42
28406 4 1 1 NA 16 NA 1 2 1 1 42
28407 2 2 1 2 61 2 NA 1 NA 2 62
28408 2 NA NA 1 NA NA NA NA 1 NA 61
28409 2 1 8 NA NA 2 1 2 8 1 55
28409 3 NA NA 1 36 NA 1 2 8 1 55
28410 2 1 2 NA 50 2 NA NA 7 NA 53
28411 2 NA 2 1 37 2 NA NA 2 NA 36
28411 3 1 NA 1 12 NA NA NA 2 NA 36
28411 4 1 2 NA NA NA NA NA 2 NA 36
28411 5 1 2 NA 16 NA NA NA 2 NA 36
28412 2 NA 7 NA 33 2 2 NA NA 5 38
28412 3 1 7 5 17 NA 2 NA NA 5 38
28412 4 2 7 5 16 3 2 NA NA 5 38
28412 5 1 7 5 13 3 2 NA NA 5 38
28412 6 1 NA NA NA 7 2 NA NA 5 38
28413 2 2 NA 1 8 NA 1 2 3 1 29
28413 3 1 NA 1 6 3 1 2 3 1 29
28413 4 1 3 1 NA NA 1 2 3 1 29
28414 2 1 1 1 43 NA NA NA 1 1 43
28414 3 NA NA NA NA 3 NA NA 1 1 43
28415 2 2 1 1 71 NA 1 NA NA 1 70
28416 2 NA 1 1 21 3 NA 2 1 1 55
28417 2 2 1 5 43 2 2 1 1 5 34
28417 3 1 1 5 NA 3 2 1 1 5 34
28417 4 1 1 5 32 6 2 1 1 5 34
28417 5 NA NA NA 28 6 2 1 1 5 34
28418 2 NA NA NA 80 NA 1 1 1 1 68
28418 3 1 NA NA 63 6 1 1 1 1 68
28419 2 2 1 1 65 NA 1 1 1 1 61
28420 2 NA 1 NA 31 NA 1 NA 1 1 39
28421 2 NA 1 1 35 2 NA 1 1 1 36
28421 3 2 NA 1 12 3 NA 1 1 1 36
28421 4 NA NA NA 11 3 NA 1 1 1 36
28421 5 1 NA 1 7 NA NA 1 1 1 36
28422 2 NA 1 1 42 NA 1 1 1 1 62
28422 3 1 NA 1 18 13 1 1 1 1 62
28423 2 1 2 NA NA 8 1 NA 2 NA 74
28424 2 NA 1 1 NA 2 1 2 1 NA 44
28424 3 NA 1 1 11 4 1 2 1 NA 44
28425 2 1 6 1 48 2 NA 2 NA 1 46
28425 3 NA NA 1 17 3 NA 2 NA 1 46
28425 4 NA NA 1 12 NA NA 2 NA 1 46
28426 2 2 1 1 NA 2 1 NA 1 1 65
28427 2 1 2 1 45 2 1 2 2 1 51
28427 3 1 2 NA 27 3 1 2 2 1 51
28427 4 2 2 1 19 NA 1 2 2 1 51
28427 5 2 2 1 11 NA 1 2 2 1 51
28427 6 2 2 1 5 8 1 2 2 1 51
28427 7 1 2 1 NA 8 1 2 2 1 51
28428 2 NA 2 1 NA NA 1 2 2 NA 52
28429 2 1 NA 2 NA NA 2 2 7 2 28
28429 3 1 7 2 49 NA 2 2 7 2 28
28429 4 NA NA 2 NA NA 2 2 7 2 28
28430 2 2 1 5 NA 2 1 1 1 5 49
28430 3 NA 1 5 17 3 1 1 1 5 49
28431 2 2 NA 1 71 NA 1 1 1 1 72
28432 2 1 1 1 NA 2 1 NA 1 1 60
28432 3 2 NA NA 41 3 1 NA 1 1 60
28433 2 2 1 2 23 2 NA 1 1 1 24
28433 3 2 1 NA 1 3 NA 1 1 1 24
28433 4 NA 1 NA 30 NA NA 1 1 1 24
28433 5 1 1 NA NA 11 NA 1 1 1 24
28434 2 2 NA 1 NA NA 1 1 1 NA 51
28434 3 1 1 1 14 3 1 1 1 NA 51
28435 2 1 1 1 NA 2 NA NA NA 1 44
28436 2 1 1 1 NA 2 1 2 1 1 36
28437 2 NA 1 NA NA NA NA 2 NA 1 22
28438 2 2 1 1 NA 2 NA NA 1 NA 54
28438 3 1 1 NA 19 NA NA NA 1 NA 54
