"Gender" "Race" "Hisp" "Age" "Relate"
NA NA NA 30 NA
NA 1 NA 6 3
NA NA 1 NA 12
NA NA 1 NA NA
1 1 NA 37 2
2 NA 1 9 3
2 1 1 NA NA
1 1 1 NA 2
NA NA 1 NA 2
1 2 3 47 10
2 1 3 33 2
1 NA 1 NA 2
2 1 1 17 3
1 1 3 NA 2
2 1 3 14 NA
2 NA 3 12 NA
NA NA 1 1 NA
NA 1 1 50 2
2 NA NA 27 5
1 NA NA 7 8
1 NA 5 41 12
2 3 1 67 2
NA 1 1 69 2
2 1 1 NA NA
NA 1 1 13 3
1 1 1 NA NA
2 1 NA NA 2
2 1 1 56 2
1 1 1 NA NA
2 NA 1 22 3
2 NA 1 NA NA
NA 1 1 59 2
1 1 1 NA 3
2 2 1 19 NA
2 NA 1 2 NA
2 NA NA 59 2
1 1 1 21 NA
2 1 NA 73 NA
NA 1 NA 52 2
1 1 1 25 NA
2 1 NA 31 2
NA 1 1 12 3
2 1 NA 9 3
1 1 1 64 2
2 1 1 NA NA
1 1 1 NA 3
2 NA 1 5 NA
1 1 NA 54 2
NA 1 1 NA 2
2 1 1 75 NA
NA 1 NA 39 12
1 1 NA 14 NA
1 1 NA 10 13
NA NA 2 9 3
2 7 NA 2 3
2 1 1 41 2
2 1 NA NA 3
1 1 1 NA NA
2 1 1 1 3
2 NA 1 32 12
2 1 1 54 NA
NA 1 1 22 3
NA 1 NA 42 12
NA 1 1 NA 2
1 NA NA 50 2
1 1 1 18 NA
NA 2 NA NA NA
NA 2 1 12 3
NA 1 1 NA 2
2 1 1 75 2
2 1 1 NA 2
1 NA 1 24 NA
NA 1 1 18 3
2 1 1 51 12
1 1 NA 57 3
2 1 NA 86 7
NA NA NA 51 2
1 NA 5 NA 3
2 1 5 23 3
NA 1 1 NA 2
2 NA 1 47 2
NA 1 1 NA 5
NA 1 1 12 5
1 1 1 52 2
2 NA 1 NA 2
1 1 1 38 2
1 1 1 7 NA
2 1 1 5 3
2 1 1 NA 2
1 NA 1 31 2
NA 1 1 5 3
1 1 NA NA NA
NA 1 NA NA 2
NA 1 1 2 3
1 1 NA 81 NA
1 NA 1 55 2
1 NA 1 27 12
1 1 NA 45 2
1 NA 1 14 NA
2 1 1 NA NA
NA NA NA 3 NA
NA NA 1 NA NA
2 1 NA 5 3
1 NA NA NA 2
2 1 1 41 2
1 1 1 NA 3
1 1 1 6 3
2 1 NA 46 NA
2 1 NA 19 3
NA 1 1 17 3
NA 1 NA NA 13
NA 2 1 62 2
2 1 1 11 NA
NA NA 1 58 2
NA NA NA 70 2
NA 2 1 NA 13
NA NA 1 NA 13
2 1 1 NA 2
1 1 1 14 3
NA 1 1 NA NA
2 1 1 63 2
1 1 NA 17 8
NA 1 1 12 8
1 6 NA NA 12
NA NA 5 3 3
1 NA 5 34 NA
NA 1 1 24 3
1 7 1 NA 2
1 1 1 NA 2
1 7 3 25 2
1 NA NA 3 NA
2 1 NA 35 12
2 1 NA NA NA
2 1 1 6 NA
1 1 NA NA 2
NA NA 1 NA 2
1 NA 1 18 NA
2 NA 1 NA NA
NA NA NA 40 2
1 1 NA 7 NA
1 NA 2 5 NA
1 NA 1 35 12
NA 1 1 62 2
2 1 1 NA 2
2 1 1 NA 2
NA 1 5 3 3
NA 1 1 44 12
NA 4 1 71 7
2 NA 1 67 7
1 NA NA 69 2
2 2 1 16 3
NA 2 1 5 3
1 1 5 18 NA
NA NA 1 60 2
NA 1 NA 56 12
1 1 NA NA 2
1 NA NA 26 NA
1 1 1 18 NA
1 NA NA 27 NA
NA NA 1 66 NA
NA 1 1 NA NA
1 1 1 NA NA
2 1 1 NA 2
NA NA 1 35 3
1 1 NA 26 NA
NA NA NA 36 4
2 NA 1 NA NA
2 NA 1 NA 2
1 1 1 NA 3
NA 2 1 NA NA
NA 1 2 14 8
NA 1 2 13 8
NA NA NA 38 3
1 9 1 58 2
NA NA 1 3 3
2 1 NA 25 12
1 NA 1 20 NA
NA NA 1 55 12
2 NA 1 94 NA
NA NA 5 NA 2
1 1 NA 26 3
1 1 NA NA 3
NA NA NA 21 NA
2 7 2 16 NA
NA 7 2 13 3
NA 1 1 NA NA
2 1 1 NA 2
1 1 1 NA NA
NA 1 1 24 3
1 1 NA 22 3
2 1 2 36 2
NA 1 2 7 5
2 NA 1 50 2
2 1 NA 25 5
1 1 NA 7 NA
NA 2 1 71 2
1 1 1 60 2
1 1 NA 19 3
2 2 1 71 NA
NA NA 1 40 4
2 1 NA NA 2
NA NA 1 32 NA
2 1 1 31 3
2 2 NA 11 NA
NA 2 NA 9 3
NA 2 1 1 NA
2 1 1 69 2
NA 1 1 70 2
NA 1 1 NA 2
NA NA 1 17 NA
2 1 1 15 NA
2 1 NA 59 2
2 1 1 34 3
2 1 1 39 NA
1 1 NA 1 3
NA 9 4 NA 3
NA 8 4 18 3
2 1 NA 83 7
1 1 1 83 7
2 1 1 44 2
NA 1 NA 8 3
2 2 NA 9 NA
2 NA NA 13 3
NA NA 1 NA NA
2 NA 1 9 3
1 NA 1 53 2
2 NA 1 48 2
1 1 NA NA 3
1 1 NA 13 3
1 2 NA NA 2
1 NA 1 66 2
1 1 NA 21 3
1 1 1 NA 12
1 1 NA 28 12
NA NA NA NA 2
NA NA NA 18 NA
NA NA 1 61 2
2 1 1 70 NA
1 NA NA NA 2
2 1 1 NA 3
2 1 1 79 NA
1 1 NA 10 NA
NA 1 1 19 12
2 7 2 NA 3
2 1 NA NA 2
1 1 1 4 NA
2 NA 1 33 12
NA NA 1 NA 2
1 1 NA NA NA
2 1 1 85 13
1 1 1 22 3
2 NA 1 16 3
NA 1 1 16 3
2 1 NA 75 2
1 1 3 NA 2
2 NA 1 17 NA
NA NA 1 NA 2
2 1 1 66 2
NA 1 NA 59 2
NA 7 2 55 2
1 1 NA 39 12
2 3 1 NA NA
1 1 1 20 5
2 9 NA NA 5
NA 1 NA NA NA
NA 1 1 13 3
1 NA 1 NA 3
1 1 1 1 NA
1 1 1 NA 12
NA 1 NA NA 2
2 6 1 50 2
NA 8 NA NA 3
2 NA 1 12 3
2 1 1 NA 2
NA NA 2 35 12
2 1 NA NA 2
2 1 1 NA 12
1 NA 1 79 NA
NA NA 1 NA NA
NA 1 1 18 3
2 2 NA 10 NA
1 2 NA 8 3
NA 1 NA 52 2
2 1 NA 43 NA
2 NA 5 3 3
2 NA 1 NA NA
NA 1 NA 72 NA
1 NA 1 NA NA
NA 1 NA 15 3
NA NA 1 13 NA
2 1 NA 60 2
2 1 1 12 NA
