"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage" "householdsize"
219 2 2 2 1 19 2 1 2 2 1 51 1
220 2 2 1 1 50 1 1 1 1 1 50 3
220 3 2 1 1 15 4 1 1 1 1 50 3
220 4 1 1 1 12 2 1 1 1 1 50 3
221 2 1 2 1 4 2 2 2 2 1 24 2
221 3 1 2 1 3 2 2 2 2 1 24 2
222 2 2 1 1 63 1 1 1 1 1 62 1
223 2 2 1 1 33 1 1 1 1 1 33 3
223 3 1 1 2 2 2 1 1 1 1 33 3
223 4 2 1 1 1 2 1 1 1 1 33 3
224 2 2 1 1 57 1 1 1 1 1 59 1
225 2 2 1 1 54 1 1 1 1 1 35 3
225 3 2 1 1 8 2 1 1 1 1 35 3
225 4 1 1 1 14 4 1 1 1 1 35 3
226 2 1 1 1 1 2 1 2 1 1 34 2
226 3 1 1 1 1 2 1 2 1 1 34 2
227 2 1 2 1 34 4 1 1 2 1 62 2
227 3 2 2 1 42 11 1 1 2 1 62 2
228 2 2 1 1 62 1 1 1 8 1 56 2
228 3 2 1 1 30 2 1 1 8 1 56 2
229 2 2 1 2 50 6 2 2 1 1 24 1
230 2 2 1 1 75 1 1 1 1 1 62 2
230 3 1 1 1 50 5 1 1 1 1 62 2
231 2 2 1 1 47 11 1 1 1 1 42 1
232 2 1 2 1 26 11 2 1 1 1 54 1
233 2 2 2 1 6 2 2 1 2 1 27 3
233 3 1 2 1 5 2 2 1 2 1 27 3
233 4 1 2 1 2 2 2 1 2 1 27 3
234 2 2 2 1 44 1 1 1 2 1 61 2
234 3 1 2 1 14 4 1 1 2 1 61 2
235 2 2 8 1 22 11 1 1 1 1 33 1
236 2 2 1 1 66 1 1 1 1 1 76 2
236 3 2 1 1 41 2 1 1 1 1 76 2
237 2 1 7 5 61 6 1 1 1 5 29 2
237 3 2 7 5 53 6 1 1 1 5 29 2
238 2 2 1 1 50 1 2 1 1 1 51 1
239 2 2 1 1 7 2 1 2 1 1 53 1
240 2 2 1 1 65 1 1 1 1 1 26 1
241 2 2 1 4 75 1 1 1 8 4 79 1
242 2 2 1 1 41 1 1 1 1 1 41 3
242 3 2 1 1 6 2 1 1 1 1 41 3
242 4 2 1 1 15 3 1 1 1 1 41 3
243 2 2 1 1 35 2 1 2 1 1 59 3
243 3 2 1 1 3 7 1 2 1 1 59 3
243 4 1 1 1 66 9 1 2 1 1 59 3
244 2 2 2 1 24 2 2 2 2 1 44 3
244 3 1 2 1 18 2 2 2 2 1 44 3
244 4 2 2 1 14 2 2 2 2 1 44 3
245 2 1 1 1 71 1 1 2 1 1 78 1
246 2 2 1 1 50 1 1 1 1 1 50 1
247 2 1 1 1 25 1 1 2 1 1 32 1
248 2 2 2 1 1 2 2 2 2 1 48 1
249 2 1 2 1 34 5 1 1 2 1 45 1
250 2 1 1 1 25 2 2 2 1 1 58 1
251 2 2 2 1 45 1 2 1 1 1 41 1
252 2 1 1 1 4 2 1 2 1 1 33 1
253 2 2 1 1 36 1 1 1 1 1 38 1
254 2 2 1 1 56 11 1 1 1 1 57 1
255 2 2 8 1 68 1 1 1 1 1 65 1
256 2 2 1 1 55 1 1 1 1 1 54 1
257 2 1 1 1 25 1 2 2 1 1 26 1
258 2 2 1 1 50 1 1 1 1 1 33 3
258 3 2 1 1 6 2 1 1 1 1 33 3
258 4 1 1 1 3 2 1 1 1 1 33 3
259 2 2 1 1 56 1 1 1 1 1 34 2
259 3 2 1 1 1 7 1 1 1 1 34 2
260 2 1 7 2 21 2 1 2 7 2 46 2
260 3 2 1 2 20 2 1 2 7 2 46 2
261 2 2 1 1 61 2 1 1 1 1 85 1
262 2 2 2 1 49 1 1 1 2 1 73 3
262 3 1 2 1 20 7 1 1 2 1 73 3
262 4 1 8 1 43 9 1 1 2 1 73 3
263 2 1 1 1 13 2 1 1 1 1 34 2
263 3 2 1 1 37 11 1 1 1 1 34 2
264 2 2 1 1 22 11 2 1 1 1 21 3
264 3 1 1 1 22 11 2 1 1 1 21 3
264 4 1 1 1 22 11 2 1 1 1 21 3
265 2 2 1 1 62 1 1 1 1 1 71 2
265 3 1 1 1 45 2 1 1 1 1 71 2
266 2 2 1 1 29 1 2 1 1 1 28 1
267 2 1 1 1 47 2 1 2 1 1 69 2
267 3 1 1 1 58 1 1 2 1 1 69 2
268 2 2 1 1 31 11 1 2 1 1 58 1
269 2 2 1 1 51 1 1 1 1 1 36 2
269 3 2 1 1 19 2 1 1 1 1 36 2
270 2 2 1 1 52 1 1 1 1 1 60 1
271 2 2 1 1 55 1 1 1 3 1 51 1
272 2 1 1 1 79 1 1 2 1 1 69 1
273 2 2 1 1 61 11 1 2 1 1 60 1
274 2 2 1 1 49 1 1 1 1 1 53 3
274 3 2 1 1 18 3 1 1 1 1 53 3
274 4 1 1 1 14 3 1 1 1 1 53 3
275 2 2 1 1 1 11 2 1 6 1 25 1
276 2 2 1 1 20 2 1 2 1 1 52 2
276 3 1 1 1 26 2 1 2 1 1 52 2
277 2 1 1 1 35 1 1 2 1 1 32 3
277 3 1 1 1 4 2 1 2 1 1 32 3
277 4 2 1 1 2 2 1 2 1 1 32 3
278 2 2 1 1 80 1 1 1 8 1 79 1
279 2 1 1 1 11 2 1 2 1 1 44 1
280 2 2 1 1 39 11 1 2 1 1 64 2
